Principal Component 1,Principal Component 2
-6.012640145478999,-2.8168032868246233
10.367769912528997,9.139303989868315
4.142496920574038,-7.014377848991215
3.4702225779922826,-6.643315174720329
3.7360121715012196,-6.556995604781547
3.6717598255222685,-6.87899472528319
11.233276349536123,-3.0610617289932804
-5.729643165592359,-0.2226842558856989
-7.628580600699747,-0.09290405718373687
-3.8193629677932033,-2.667507555462497
-6.405788682758949,-2.7737931581238753
3.8170439975851758,2.173048209441454
1.0703380632758566,1.7917348795767292
-3.12521262847405,-5.412080870078849
-3.566655856176477,-5.346872888223288
-4.198752896490932,-5.79283691080669
-4.71533728753117,0.3169130235976409
-5.6816254861526705,-3.649193920920796
-7.6513085596172985,-4.111704919695643
-8.358851394561169,-4.808930156314175
0.5647859078639365,-3.1535696358806375
-2.37318443647196,-0.6134358294260038
-2.497065610028362,-1.3043804948354292
-5.302170162163916,-1.365463490516008
-1.902811344504419,1.6986091298180908
-1.4617545883749161,2.278337690904463
-3.2934389998423086,4.421024451000869
-5.139535854135968,4.628262632154314
0.6641695166524627,-3.732362487881833
-2.835214545509946,-2.909889406905518
2.035701902423914,-4.314656019780212
1.4287355271010176,-3.9515282059266177
0.7374007373303194,-4.247097020919636
-0.6072446518404624,-4.009777556875593
-2.3015477918692495,-4.523780349069889
-3.0773907127803692,-4.771672632931906
5.270237025830213,-0.9853676177176821
3.610096005011085,-0.9841628404228564
2.457930317182931,-1.014410027704429
1.7560697620837062,-1.0251944847236605
0.059644201791555634,-1.5924353604041848
0.7978037292189613,-1.9776321244110036
-5.468418906932459,-0.756406577907492
-7.021954713061308,-1.4394943303248544
-5.805140846172889,-1.3235215398272877
-7.321047304627539,-1.754011181195858
-8.085813997597763,-2.6086734596069747
-2.3335404578218673,4.073687542612445
-2.454196152580813,-0.8492611044292863
-4.741912814005753,-0.8197068957551282
-0.3358007911221032,-4.661732281207652
5.799817373989338,-4.245141697060445
4.176371920660818,-4.171353669563065
0.7238174058111898,-3.715070696688589
-2.997628182750692,-3.329386286827672
-8.996486376659911,-4.867973144194251
-10.104107936443866,-5.165837543202503
-10.584411821406094,-5.570660627304666
-10.582338330946657,-6.022207220615608
-5.892190562431714,-2.843302925034604
-2.9379614356558985,-4.554725203119243
-4.600092362847906,-3.9508968855845037
3.888630706849814,2.43184696139073
4.137739520009726,2.752393886259165
3.533740798042699,1.1408839418637315
3.0406488633834634,0.37248963626241305
1.9361106731342572,-0.3418086363899484
-0.41468891197302915,-0.8381388040376722
-3.8981711254611713,-6.158639320291002
-4.5513260951274175,-6.0982229425462595
-5.3460293553011295,-6.091857327384274
-6.281718014243528,-0.8054987493265618
-4.21363280285484,-1.045377225656882
-3.2204009311167963,-1.5284789240895789
4.010028739654323,-1.9728490374367793
1.9050222488408817,-1.530598234314008
-0.917808186924385,-1.9428406711669601
-2.754399222664351,-1.9653685225372208
-7.676733892533571,-2.420362741288483
2.1379925810192795,-5.586878044178411
1.243437683000621,-5.622204273959393
-1.5308092679074718,-6.082647812452023
-0.4172685357839974,0.4397322151382632
-3.1554743609444778,-0.5046866677997853
-2.009762621465488,2.449059547110953
-4.017921819344416,0.9219806465840052
-6.298291280839299,-0.3118769659613427
-2.1883291203043034,0.32973333324841814
5.629180914029088,-8.845434071138238
4.065017535395137,-9.137558753219487
1.2281931794973955,-9.387306150838697
6.133248705837915,9.080474062692499
-1.153543289092687,-2.967365222825363
-5.933775924911676,-1.6301634813990753
-7.296428359784561,-1.9232583146781328
-8.064994574793648,-2.2868780532298723
-9.439653290595128,-1.9719515626494069
8.533566414311368,6.888574253122122
5.605790557563848,6.5917759620892316
4.648559554589969,6.907805286152799
3.274475272054969,6.869958984732293
1.3729195811230164,6.9221484935383
9.453318572927136,-2.8179402321917024
9.757055165981175,-3.379594102958578
10.245699327104965,-3.394793724353737
9.933061386449188,-3.293573378081298
1.6691248953479365,-1.5804971807987798
-1.3760171510921317,-1.5246432138823947
-10.854555880423616,0.5559862278569419
-11.19249049011451,-0.025109201333842725
-11.593559211654295,0.13644507597766195
3.5079319315694235,2.059931024214948
1.2892999694652905,2.180677685238217
-0.6872027820512684,1.4899012364816524
-1.9745262471444178,0.8080165631403532
-2.843717804031513,0.9136942027490916
-3.458646037211305,-0.7445462228426694
-4.98590949145302,-0.6135711530563799
-9.673926519222606,-2.448527864129523
-9.97439746076253,-2.642665800650574
-10.574314147419006,-2.6062843692799507
0.5217380386076146,5.5479131803881065
0.013723425722829296,-0.06939284175465735
-5.0901838051902955,-5.455539380062015
-7.177325892115936,-5.409765940525025
-6.472850076786203,-5.425225821164259
1.9322026601797284,-3.3840733011055755
1.5632323975037192,-2.613123842785288
2.7431107255098923,6.130951384740234
1.7993366120249943,5.803571590408103
-8.20002377758561,2.2023230903980826
-0.6071497599738643,0.4856226578357995
-2.3494722424969905,0.175040186813094
-3.2022061187597037,0.13750671161457706
-3.1465365116204613,0.13726980433614883
-3.198540993347919,0.2767512049343324
5.864262555760204,-1.3874141670446234
4.520249979519654,-0.7174290190243242
1.8527570063955272,-1.0788073043108177
-1.416384457014281,-0.8673126974203832
-3.884934324679708,-1.4064860511381407
-6.050648354611658,-2.2280124390480176
-3.121186374213671,-2.1066984774364967
-4.303289336787191,-2.4362803098375605
-4.730939559661104,-2.9157914637007467
-5.874493167056034,-3.4573362129989973
-7.413706416597957,-3.5823741399938793
-6.060097954019343,-5.229432058335316
-3.6641849164548925,-0.3001924821734539
-5.106854220280143,-0.007447169400407174
-6.491552285631656,0.38016424945501454
5.420473889587527,5.9630404512801665
0.07984488231608364,4.25221807786202
-2.129940412636888,4.095331131958143
2.631941421972667,-0.5857170387631178
1.992462577981391,-0.32828237819260564
0.7711218820244228,-0.22345603807563422
-0.35770431074815745,-0.5399120792984903
-0.7008274846247385,-0.33885099357565057
-1.8578294043749892,-0.929536990357179
-6.193508006194072,-4.523461744696569
-5.39351743505292,-4.735393811615479
2.7410268285289905,-0.2647141323953695
-0.7705437443411212,0.7266726693262578
-1.8754102197398783,-0.724829381451276
-6.480797916078556,-3.045196621792079
-7.635058249786327,-3.0536901892681234
-7.483327561564917,-2.9907403832830846
-5.731494892687995,-3.460872956642028
-5.613099291377922,-4.101179154561115
-6.040076823419859,-4.420564472839144
-5.9466950122468605,-4.605992981006979
-2.46989024217784,6.137160946580401
7.460509678588888,-2.2907412377044
6.121412293784137,-2.1734894842199415
5.56023945450009,-3.274303792815574
4.3184477168508915,-3.335669466919424
2.445214407093626,-3.3577811572215284
-1.5427803769289856,1.8178705291151784
-2.53967538350482,5.695950880362636
-3.2981375119381386,5.555378634400929
-4.327491854771585,3.975437778185571
-3.583509117065112,3.9887668892441517
-4.035684817508994,3.5389388375417976
-4.2025100791369585,3.8934880052882828
-5.0348636508611335,3.664805704111801
-6.691805903322265,2.8374948651525433
-8.071683405793884,1.868028496243867
8.229082549331963,6.189471075791125
4.338861219393574,6.470702079918215
1.2217284898159164,6.001085947235112
-4.1146339129963385,0.29081327773239063
-5.361600525458532,-0.15497799068623624
-4.707131498999144,-0.20414044597177264
-4.7898836482500755,-0.2509270746393417
-5.604462212938616,0.20529575072080888
3.2770413011069826,-3.1773434087461245
4.050285957512181,-3.613975546556809
4.001217088057295,-4.293926163078296
4.485847389147314,-5.1458731115644865
3.719938087370202,-5.663169687980602
1.5487685613993583,-6.107798649733386
6.087834657176532,0.15653872826132306
4.443110900701121,0.3327985778439525
2.473154749182015,0.17526430887077557
-1.428333431774471,3.013704955877461
-1.0734068915978634,2.858896634341839
-0.985370333374433,2.38958508799868
-3.1205188696916575,1.4328244308623597
-5.6862188511953216,0.4346451175635029
-7.802457423300043,-0.2589545724744919
-2.0396210085767654,2.5346324853553504
0.9538832346448989,3.5416993738308746
-0.7505738235039413,3.232965792176421
-2.5055073650367876,2.549336000961828
-5.764508768307561,-5.1469231858824145
-4.99795139974372,-5.69159185241379
-4.479317457211037,-6.230918235182546
-4.1721572964228475,-6.932498519226396
3.0557745906559632,-5.108506759046401
2.312843293276106,-4.700621467965669
1.2343647787726293,-4.6229327815665755
0.5002973574920346,-4.199590637224608
-0.11517892308538505,-3.89402564766992
-1.4679339178272768,-3.8054162444075126
0.8963209300313375,7.896024226505488
0.7490487607559766,8.455526227969743
-0.35889051180279957,8.714786782181537
-1.9633438329777957,8.32648010928517
-4.208243021607299,6.950191993256788
-5.889863414455626,5.438066679022552
4.843263827177237,-1.0445124469827534
3.1367044142029967,-1.4782572775404383
3.762362770485966,1.516429396300685
5.21878169574155,1.15070037057821
6.3532561445870375,-0.2050071044404729
7.643294089282838,-1.6260165172808083
-0.6271207552919695,-3.171394923754317
-1.6861369224595684,-3.882647193433751
-3.7472495391798937,-4.521887148531307
-4.437194492767992,-4.602037716599153
-6.1509235883886,-3.894400239171792
-6.7397049864317635,-2.8374387813672777
-6.9875342560428315,-2.863566736780672
-8.38859956888222,-3.09761021183983
-8.825302143841267,-4.285466253978705
-9.58051327054221,-5.974763127683912
-7.9581123222381995,-0.1937484281854569
-6.65694879993097,0.24360243451479968
-5.320230621203209,0.2546597012607451
-4.122026134944327,-0.3308355992333927
-4.115973868259432,-0.8764372991996564
-5.767470202895798,-1.0249776451890542
-8.108599480893803,0.2813502576099013
4.0662261840103655,-7.42033752615453
4.620443077977906,-6.954119577402404
5.605178505662954,-7.080778476741981
0.3153147008441775,-4.877844580285611
-1.4905608414548868,-5.425495392476919
-8.229971963673725,-3.1540914528756985
2.441683732972949,4.788546858206991
1.7680001998931638,4.590515448213027
0.597015748266516,4.416542549918018
-2.64955384807411,2.9007253875101124
9.520932748511068,-5.835673027416636
9.673774359066476,-5.746101527847851
8.907824528681235,-5.437051330162867
8.274103293318163,-5.6274822384176995
6.8961413401667295,-6.095447988734686
6.3992732572372875,-6.303090790105744
4.946022942046402,-6.733324076700257
3.154706021229307,-6.67596074850196
-7.09105815102782,1.6331169394165927
4.180862625204723,0.6720249299101264
-1.512335818127188,0.2569573453287325
-2.336797729155414,-0.6068995257213439
-3.885925685252745,-1.2273155220499647
-2.938521428585505,-0.020666024318389275
-1.4949509800508498,-0.788895189853463
-0.5926040459570392,-0.5934233858762777
-0.8376647119793486,-0.6772635493641952
-3.900108098621265,-0.3721901529760905
-2.6468684348202327,-4.096003784140679
-2.688137844463489,-4.682708617342149
-3.8243009195283535,-4.974420415527191
-4.595872766256084,-5.266319318949736
-4.843599109908747,-5.622828025883494
-2.190977325248175,-4.878915395869183
-3.259453057502252,-4.626087069214278
1.083713738117735,-4.568260516719771
3.203841989749692,-4.825237434045898
2.9708054032231144,-5.425993733179229
1.6034879225399714,-4.841669918058331
-0.04373682232628167,-4.369611707616746
-2.7349314542104204,-4.097461873635755
-8.775395929177481,-4.477185288402679
-2.173418292957862,-5.583633864825398
-4.330720263399087,-4.80409659145871
-6.7859461954867415,-4.880863722181219
-8.13551710895195,-5.895406207463769
2.2623555776599122,8.53241988543685
3.5783421848334416,8.815791929056527
3.5366930383809807,9.899400303152715
4.229661530168394,10.575231378179303
3.6037221811520657,10.502335769429601
-3.4514363031975672,5.818575781071151
-6.617426844745597,4.67750776186197
4.393063933151818,-0.8078624923576302
4.016890886767825,-1.4339318740103657
3.1569834455015546,-1.8511579816510868
1.9269087568655847,-1.801203552763369
0.2881104749833673,-1.654927207906592
-2.2762293184803086,-1.3301130857755552
-6.135712986724357,-3.313094643162783
-4.384095519825032,0.5062862142187847
-4.039638345377485,-0.028439617170470586
-4.909376469883506,-0.7662503166394995
-5.265864891645336,-0.7510580105471575
-6.919783015555402,-1.5516446399385502
-8.399519768356916,-2.024214031736061
-10.242788767932181,-1.743311903044785
8.482770897863702,0.8674583149758938
8.361144221776668,1.2291395180369225
7.819398858411879,1.462647587971832
8.462490119675007,0.8004577026512976
7.627389279096358,0.416199673732024
3.676470300360144,1.455996449768545
2.013168596306499,2.2470777669612945
0.781267551338845,2.890210179165427
0.1749515274222245,2.783206888391846
-0.5192567386344727,2.2316438887823864
-2.667256680290612,1.5315529727725887
-1.7764066176332693,-4.5127200310298194
-1.5660587944674789,-5.064844996759426
-2.571380675801358,-4.966951387820437
-2.8682122748279064,-5.533485493951691
-3.182136296551535,-5.708797719291953
1.3126885110100788,-0.05260146464041966
3.699921799921347,-0.3680538266122908
5.506065473964198,-1.0422285664113518
5.733800656842915,-2.2538043731371196
7.44650318111726,-2.375540321132806
8.004864059070727,-2.8502966874478375
7.964970482236612,-3.4236964596493458
7.761194981089427,-3.98136582691989
6.467432607749635,-4.023051739161854
5.579116998581316,-4.020264640409042
4.489932045819895,-3.4677591669393006
3.770928217153381,-3.4989814208711874
-0.7331546401205444,-5.943187941910536
-2.614242018546699,-7.441961098280214
-4.2159967108881204,-7.471644741455825
1.4004428787778693,3.5438798378825713
2.2611293127703163,3.193806606597297
1.9875725754122275,1.9449252442083504
0.3400824676338274,1.38353335452709
-2.3655868237459123,0.6369305194846929
-5.0302496728793935,0.5543421590093821
-3.5720963054066726,-0.539737222526554
-4.502997785533125,-0.8921520878148435
-4.663712273292593,-1.044865180874843
-4.900931540821852,-1.4045070481098765
-5.803071890241984,-2.002170460320364
-6.0926955505383225,-4.844791318101092
-0.8148240606981916,-0.2607945320068878
-0.6513650462133186,-0.2402807912691536
0.10524133300824196,0.5105566877895985
0.36203594270464134,0.8472598941013058
-0.2436488646854855,2.007066329186082
-1.9935324171433204,-1.433216451157255
-1.8063137428002776,-1.2782194710748869
-1.8536599113711145,-1.7916745540820884
-1.7817608494744313,-2.7889030454015247
-2.277882777440616,-3.0728494902399928
-4.669089398426234,-3.0211023213800887
-6.264449104915214,-3.259912560323471
-8.06693078591622,-2.626185253108902
-9.070718111139698,-3.518760867935496
-4.204688187270919,-4.937424174868981
2.2575686625450793,-4.160066931292475
2.0206438796331496,-4.126444698545336
0.4310959434741624,-3.8437287505429074
0.3595582031865978,-4.29803696344539
0.12842106101289674,-4.781374223783748
-0.2592046407349059,-4.635580856546797
-0.024856040315773785,-5.955695423611377
-1.8270725553744378,-6.0874009646091745
3.235787601370634,-2.0163375418907235
3.840082549201864,-1.8990383042892192
4.431996723872871,-1.5067723456702526
2.1608882031391072,-1.3722392297045907
0.20957816708032928,-0.9502162420269412
-3.902454268272785,4.100569645551172
-3.3957288520613,4.742013408478794
-2.2963372300598097,4.525141784902688
-6.72947094705062,-0.6897051122368643
-6.555903127891849,-0.8849049876566498
-6.642442766240315,-0.9276937788288754
-7.725890731201294,-0.5122329467398519
-8.943165043134968,0.04462241664859244
7.801310166434052,-1.0506748610546524
9.15816488998564,-2.337857527267327
10.379674745885982,-2.9158884663044553
8.623267875410638,-3.5207110908516195
5.793456072739003,-2.5057057981326483
3.650746812245949,-2.1577664391215023
1.386354751506984,-2.26320752907541
-0.1337890166133243,-2.206896309900367
